"testament","book","title","chapter","verse","text","version","language"
"OT",1,"Génesis",1,1,"En El Principio, Dios hizo los cielos y el suelo.","RSV","ES"
"OT",1,"Génesis",1,2,"El suelo estaba vacío y oscuro, y el Espíritu de Dios cernían sobre la faz de las aguas.","RSV","ES"
"OT",1,"Génesis",1,3,"Dios mandó: ``Que haya luz'', y hubo luz.","RSV","ES"
"OT",1,"Génesis",1,4,"Dios miró la luz y estaba feliz con lo que vio, luego separaron la luz y la oscuridad.","RSV","ES"
"OT",1,"Génesis",1,5,"Dios llamó a la luz Día y a la oscuridad Noche. La tarde y la mañana marcaron el paso del primer día.","RSV","ES"
"OT",1,"Génesis",1,6,"Entonces Dios mandó que se creara una división entre las aguas, separándolas unas de otras.","RSV","ES"
"OT",1,"Génesis",1,7,"Dios dividió las aguas de abajo de las aguas de arriba.","RSV","ES"
"OT",1,"Génesis",1,8,"Dios llamó al espacio Cielo. Luego vino la tarde y la mañana, terminando el segundo día.","RSV","ES"
"OT",1,"Génesis",1,9,"Dios mandó ``Que las aguas bajo los cielos se reunieran como una sola, y que se revele el suelo'', y así fue.","RSV","ES"
"OT",1,"Génesis",1,10,"Dios llamó al suelo Tierra y a las aguas que se habían reunido Mares, y Dios estaba feliz con lo que vio.","RSV","ES"
"OT",1,"Génesis",1,11,"Entonces Dios mandó: ``Que la tierra produzca hierba, plantas que lleven semillas, y árboles que dan fruta con semillas'', y así fue.","RSV","ES"
"OT",1,"Génesis",1,12,"La hierba y las plantas de varios tipos fueron creadas por la tierra, cada una con semillas, y árboles que dan fruta con semillas, y Dios estaba feliz con lo que vio.","RSV","ES"
"OT",1,"Génesis",1,13,"Entonces vino la tarde y la mañana, terminando el tercer día.","RSV","ES"
"OT",1,"Génesis",1,14,"Entonces Dios mandó: ``Que se coloquen luces en el cielo para separar el día de la noche. Servirán como señales para el paso del tiempo y para las estaciones,","RSV","ES"
"OT",1,"Génesis",1,15,"y que sus luces brillen en el cielo para iluminar la tierra'', y así fue.","RSV","ES"
"OT",1,"Génesis",1,16,"Dios creó dos cuerpos luminosos, el más grande para presidir el día y el más pequeño para la noche junto a las estrellas.","RSV","ES"
"OT",1,"Génesis",1,17,"Dios los colocó en los cielos para iluminar la tierra, para tener dominio sobre el día y la noche,","RSV","ES"
"OT",1,"Génesis",1,18,"y separar la luz de la oscuridad. Dios estaba feliz con lo que vio.","RSV","ES"
"OT",1,"Génesis",1,19,"Entonces vino la tarde y la mañana, terminando el cuarto día.","RSV","ES"
"OT",1,"Génesis",1,20,"Dios mandó: ``Que las aguas se llenen de vida, y que los aves vuelen en el cielo sobre la tierra'', y así fue.","RSV","ES"
"OT",1,"Génesis",1,21,"Dios hizo todo los peces que mueven a través del agua, y cada tipo de aves, y Dios estaba feliz con lo que vio.","RSV","ES"
"OT",1,"Génesis",1,22,"Dios los bendijo, diciendo: ``Que seas fértil y multiplícate, llena los océanos con vida y multiplica los aves en la tierra''.","RSV","ES"
"OT",1,"Génesis",1,23,"Entonces vino la tarde y la mañana, terminando el quinto día.","RSV","ES"
"OT",1,"Génesis",1,24,"Entonces Dios mandó: ``Que la tierra produzca seres vivientes de todas clases- ganados, criaturas que se arrastran, y bestias salvajes'', y así fue.","RSV","ES"
"OT",1,"Génesis",1,25,"Entonces Dios creó los ganados y todas las criaturas que se arrastran, y las bestias salvajes, y Dios estaba feliz con lo que vio.","RSV","ES"
"OT",1,"Génesis",1,26,"Entonces Dios mandó: ``Que caminen por la tierra personas creadas a nuestra imagen, y dales autoridad sobre todos los peces que mueven a través del agua, y sobre toda clase de aves, todos los ganados y todas las criaturas que se arrastran, y las bestias salvajes''.","RSV","ES"
"OT",1,"Génesis",1,27,"Entonces Dios creó a la gente en su reflejo, a imagen de Dios; hombre y mujer, Dios los creó.","RSV","ES"
"OT",1,"Génesis",1,28,"Dios bendijo al pueblo y dijo ``Que seas fértil y multiplícate, y cuida la tierra, y todos los peces que mueven a través del agua, y cada tipo de aves, y los ganados, y todas las criaturas que se arrastran, y las bestias salvajes''.","RSV","ES"
"OT",1,"Génesis",1,29,"Entonces Dios dijo: ``He proporcionado toda la hierba, plantas que lleven semillas y árboles que dan fruta con semillas, que puedes usar como alimento,","RSV","ES"
"OT",1,"Génesis",1,30,"y todos los peces que mueven a través del agua, y toda clase de aves, todos los ganados, y todas las criaturas que se arrastran, y las bestias salvajes tambien''.","RSV","ES"
"OT",1,"Génesis",1,31,"Entonces Dios miró todo lo que había creado y estaba feliz con lo que vio. Luego vino la tarde y la mañana, terminando el sexto día.","RSV","ES"
"OT",1,"Génesis",2,1,"La creación de todos los elementos del cielo y de la tierra se completó, y de todo lo que hay en ellos.","RSV","ES"
"OT",1,"Génesis",2,2,"El séptimo día, Dios había terminado de trabajar y descansó.","RSV","ES"
"OT",1,"Génesis",2,3,"Dios otorgó una bendición al séptimo día y lo declaró santo, porque en ese día, Dios descansó del trabajo de la creación.","RSV","ES"
"OT",1,"Génesis",2,4,"Esta es la historia de la creación de los cielos y la tierra. Los días en que Dios hizo los cielos y la tierra.","RSV","ES"
"OT",1,"Génesis",2,5,"Dios aún no había traído lluvia a la tierra, ya no había nadie para cuidar el suelo.","RSV","ES"
"OT",1,"Génesis",2,6,"Una neblina se levantó del suelo y humedeció la superficie de la tierra.","RSV","ES"
"OT",1,"Génesis",2,7,"Entonces Dios formó a Adán con el polvo de la tierra y sopló el aliento de vida en sus narices, creando así un ser vivo.","RSV","ES"
"OT",1,"Génesis",2,8,"Dios plantó un hermoso jardín en Edén, al oriente, y colocó allí a Adán. Dios creció todo tipo de árboles en el Jardín. Eran agradables a la vista y su fruto era nutritivo.","RSV","ES"
"OT",1,"Génesis",2,9,"En el centro del jardín habían dos árboles: El Árbol de la Vida y El Árbol del Conocimiento del Bien y del Mal.","RSV","ES"
"OT",1,"Génesis",2,10,"Un río fluía a través de Edén proporcionando agua para el jardín, que se dividió en cuatro ramas.","RSV","ES"
"OT",1,"Génesis",2,11,"Pishon fue el primer de los ríos, y rodeaba todo el país de Havilah, un lugar abundante en oro. El oro encontrado en esa tierra era de calidad excepcional, al igual que las piedras de bdellium y ónice.","RSV","ES"
"OT",1,"Génesis",2,12,"Gihon fue el segundo río; rodeó toda la región de Cush.","RSV","ES"
"OT",1,"Génesis",2,13,"El tercer río se llamaba el Tigris, que fluía al este de Asiria.","RSV","ES"
"OT",1,"Génesis",2,14,"El cuarto río fue el Éufrates.","RSV","ES"
"OT",1,"Génesis",2,15,"Entonces Dios colocó a Adán en el Jardín del Edén para cuidarlo y atenderlo.","RSV","ES"
"OT",1,"Génesis",2,16,"Dios le instruyó a Adán, diciendo: ""Puedes comer de cualquier árbol del jardín, pero no comas el fruto del Árbol del Conocimiento del Bien y del Mal, porque si lo haces, ciertamente perecerás"".","RSV","ES"
"OT",1,"Génesis",2,17,"Dios dijo: ""No es bueno que el hombre esté solo, así que les ayudaré a encontrar un compañero"".","RSV","ES"
