"testament","book","title","chapter","verse","text","version","language"
"OT",1,"Genesis",1,1,"In The Beginning, God made the heavens and the earth.","KSV","EN"
"OT",1,"Genesis",1,2,"The earth was empty and dark, and the Spirit of God was hovering over the surface of the waters.","KSV","EN"
"OT",1,"Genesis",1,3,"God commanded, ``Let there be light'', and there was light.","KSV","EN"
"OT",1,"Genesis",1,4,"God looked upon the light and found it to be good, then divided it from the darkness.","KSV","EN"
"OT",1,"Genesis",1,5,"God referred to the light as Day and the darkness as Night. Evening and morning marked the passing of the first day. ","KSV","EN"
"OT",1,"Genesis",1,6,"God then commanded that a divide be created between the waters, separating them from one another. ","KSV","EN"
"OT",1,"Genesis",1,7,"God created the sky and divided the water below it from the water above it, and so it was.","KSV","EN"
"OT",1,"Genesis",1,8,"God named the expanse Heaven. Then evening and morning came, ending the second day.","KSV","EN"
"OT",1,"Genesis",1,9,"God commanded  ``let the waters beneath the heavens gather as one, and let the dry land be revealed'', and so it was.","KSV","EN"
"OT",1,"Genesis",1,10,"God named the dry land Earth and the waters that had come together Seas, and God was pleased with what they saw.","KSV","EN"
"OT",1,"Genesis",1,11,"Then God commanded ``Let the earth produce grass, plants that bear seeds, and fruit trees that bear fruit with seeds'', and so it was.","KSV","EN"
"OT",1,"Genesis",1,12,"Vegetation and plants of various kinds were created by the earth, each with its own type of seed, and trees that produced fruit with their own seeds, and God was pleased with what they saw. ","KSV","EN"
"OT",1,"Genesis",1,13,"Then evening and morning came, ending the third day.","KSV","EN"
"OT",1,"Genesis",1,14,"Then God commanded ``Let lights be placed in the sky to divide day from night. Shall they serve as signs for the passage of time and for the seasons,","KSV","EN"
"OT",1,"Genesis",1,15,"and let their light shine in the sky to illuminate the earth'', and so it was. ","KSV","EN"
"OT",1,"Genesis",1,16,"God created two luminous bodies, the larger one to preside over the day and the smaller one to oversee the night beside the stars. ","KSV","EN"
"OT",1,"Genesis",1,17,"God placed them in the heavens to illuminate the earth, ","KSV","EN"
"OT",1,"Genesis",1,18,"to have dominion over the day and night, and to divide the light from the darkness. God was pleased with what they saw. ","KSV","EN"
"OT",1,"Genesis",1,19,"Then the sun set and rose, ending the fourth day.","KSV","EN"
"OT",1,"Genesis",1,20,"God commanded ``Let the waters be filled with life, and that birds soar in the sky above the earth.'' ","KSV","EN"
"OT",1,"Genesis",1,21,"God made all living creatures that move through the water, as well as every type of bird, and God was pleased with what they saw. ","KSV","EN"
"OT",1,"Genesis",1,22,"God blessed them, saying ``Be fruitful and multiply, fill the oceans with life, and let the birds multiply on the land.'' ","KSV","EN"
"OT",1,"Genesis",1,23,"Then evening and morning came, ending the fourth day.","KSV","EN"
"OT",1,"Genesis",1,24,"God then commanded ``Let the earth produce living creatures of all kinds- cattle, crawling critters, and wild beasts, and so it was.","KSV","EN"
"OT",1,"Genesis",1,25,"Then they created the cattle and all critters that crawl and wild beasts'', and God was pleased with what they saw.","KSV","EN"
"OT",1,"Genesis",1,26,"Then God commanded ``Let people made in our image walk the earth, and give them authority over all living creatures that move through the water, as well as every type of bird, as well as the cattle, and all the critters that crawl, and the wild beasts.''","KSV","EN"
"OT",1,"Genesis",1,27,"Then God created the people in their reflection, in the image of God; male and female he created them.","KSV","EN"
"OT",1,"Genesis",1,28,"God blessed the people and said ``Be fruitful and multiply, and take charge of the earth, as well as all the living creatures that move through the waters, as well as every type of bird, and the cattle, and the critters that crawl, and even the wild beasts.''","KSV","EN"
"OT",1,"Genesis",1,29,"Then God said ``I have provided all the grass, the plants that bear seeds, and the fruit trees that bear fruit with seeds, which you can use as food,","KSV","EN"
"OT",1,"Genesis",1,30,"and all the living creatures that move through the water, as well as every type of bird, and the cattle, and all critters that crawl, and even the wild beasts.'', and so it was.","KSV","EN"
"OT",1,"Genesis",1,31,"Then God looked upon all that they had created and was pleased. Then evening and morning came, ending the sixth day.","KSV","EN"
